# cadence BJD stars_used sigma X_0 X_x X_y X_xx X_xy X_yy Y_0 Y_x Y_y Y_xx Y_xy Y_yy
126772 2457532.34244 2110 0.0482 -3.3131001168e+05 1.5403214236e+03 -1.6837188685e+03 -1.0541754810e+00 6.9552172159e+00 -2.4366761222e-01 -1.5238846872e+05 1.5454591326e+03 1.3002974058e+03 -3.2907613314e+00 -1.6868430526e+00 -6.2642536337e-01
126773 2457532.36288 2656 0.0474 -3.2875637636e+05 1.5207728688e+03 -1.6885199972e+03 -1.0167513659e+00 6.9738142645e+00 -2.4039541630e-01 -1.5570202983e+05 1.5702871971e+03 1.3015081200e+03 -3.3373096452e+00 -1.6921267685e+00 -6.3004136112e-01
126774 2457532.38331 2496 0.0472 -3.2895121259e+05 1.5222138514e+03 -1.6886524487e+03 -1.0194194196e+00 6.9742491057e+00 -2.4057890867e-01 -1.5539883462e+05 1.5681586124e+03 1.3027409656e+03 -3.3336429552e+00 -1.6977582228e+00 -6.3493554450e-01
126775 2457532.40375 2830 0.0473 -3.2958325547e+05 1.5269721036e+03 -1.6881523374e+03 -1.0283092256e+00 6.9736018841e+00 -2.3485821518e-01 -1.5538692019e+05 1.5680954735e+03 1.3030077968e+03 -3.3335158381e+00 -1.6976763858e+00 -6.2989138709e-01
126776 2457532.42418 2636 0.0473 -3.2929659519e+05 1.5246811583e+03 -1.6896069471e+03 -1.0236977670e+00 6.9800631002e+00 -2.2990866149e-01 -1.5516432755e+05 1.5664541600e+03 1.3032043791e+03 -3.3304378437e+00 -1.6974229405e+00 -6.2529871562e-01
126777 2457532.44462 2058 0.0464 -3.2857140781e+05 1.5195588211e+03 -1.6869921107e+03 -1.0146511576e+00 6.9708509895e+00 -2.2743225957e-01 -1.5532728826e+05 1.5679703081e+03 1.3060127701e+03 -3.3338601942e+00 -1.7085670165e+00 -6.2855218421e-01
126778 2457532.46505 2443 0.0478 -3.2897988685e+05 1.5222491184e+03 -1.6902549329e+03 -1.0190053852e+00 6.9829911920e+00 -2.2748938783e-01 -1.5563697573e+05 1.5696582498e+03 1.3002802551e+03 -3.3358136509e+00 -1.6865139363e+00 -6.2525200568e-01
126779 2457532.48549 2652 0.0473 -3.2946155965e+05 1.5258530889e+03 -1.6901495820e+03 -1.0257418463e+00 6.9826848925e+00 -2.2708417892e-01 -1.5597543902e+05 1.5725728855e+03 1.3039395305e+03 -3.3420236533e+00 -1.7010641162e+00 -6.2953985477e-01
126780 2457532.50593 2598 0.0471 -3.3003412386e+05 1.5304594336e+03 -1.6870060167e+03 -1.0350043973e+00 6.9700816651e+00 -2.3117234417e-01 -1.5530980876e+05 1.5676267827e+03 1.3040598034e+03 -3.3328893183e+00 -1.7025199079e+00 -6.3426288353e-01
126781 2457532.52636 1850 0.0459 -3.3037282318e+05 1.5328758296e+03 -1.6879984121e+03 -1.0392145017e+00 6.9754803064e+00 -2.2322052438e-01 -1.5612098886e+05 1.5736520478e+03 1.3038959961e+03 -3.3441999523e+00 -1.7041849138e+00 -6.4486191428e-01
126782 2457532.54680 2671 0.0478 -3.3031848444e+05 1.5321676683e+03 -1.6907980204e+03 -1.0372885223e+00 6.9867092515e+00 -2.1940586148e-01 -1.5553508355e+05 1.5691558373e+03 1.3027191824e+03 -3.3354717592e+00 -1.6977620492e+00 -6.3538708765e-01
126783 2457532.56723 2687 0.0472 -3.3014691293e+05 1.5312559658e+03 -1.6873697355e+03 -1.0362532343e+00 6.9743124131e+00 -2.1764035432e-01 -1.5505771193e+05 1.5659027322e+03 1.3055730341e+03 -3.3298718942e+00 -1.7064091273e+00 -6.2610403435e-01
126784 2457532.58767 2825 0.0471 -3.3020545885e+05 1.5314848516e+03 -1.6892998656e+03 -1.0362588390e+00 6.9821466038e+00 -2.1462430850e-01 -1.5537817920e+05 1.5682292127e+03 1.3049985824e+03 -3.3340449351e+00 -1.7034032355e+00 -6.2207415138e-01
126785 2457532.60810 2828 0.0473 -3.3030612746e+05 1.5322238454e+03 -1.6894025736e+03 -1.0376045929e+00 6.9827189604e+00 -2.1371450476e-01 -1.5557135671e+05 1.5697236974e+03 1.3055347368e+03 -3.3369211704e+00 -1.7052071264e+00 -6.2117352509e-01
126786 2457532.62854 2541 0.0468 -3.3062251348e+05 1.5345440228e+03 -1.6897488885e+03 -1.0418568328e+00 6.9840213381e+00 -2.1361443947e-01 -1.5530736109e+05 1.5677370439e+03 1.3053613008e+03 -3.3331942084e+00 -1.7047545782e+00 -6.2210104529e-01
126787 2457532.64897 2828 0.0475 -3.3065483427e+05 1.5349890110e+03 -1.6878287091e+03 -1.0430076417e+00 6.9779658231e+00 -2.0841661509e-01 -1.5563088405e+05 1.5701627826e+03 1.3055425617e+03 -3.3377318337e+00 -1.7052505678e+00 -6.2124483304e-01
126788 2457532.66941 2247 0.0476 -3.3087647478e+05 1.5367063836e+03 -1.6872351991e+03 -1.0464195735e+00 6.9740761985e+00 -2.1620742343e-01 -1.5578003284e+05 1.5713892045e+03 1.3066019338e+03 -3.3402410667e+00 -1.7093918216e+00 -6.2217814661e-01
126789 2457532.68985 2126 0.0474 -3.3206610823e+05 1.5459337222e+03 -1.6837994244e+03 -1.0642235837e+00 6.9624202225e+00 -2.1082721773e-01 -1.5494507316e+05 1.5649652047e+03 1.3047204989e+03 -3.3276119181e+00 -1.6970568841e+00 -5.9733565998e-01
126790 2457532.71028 2654 0.0477 -3.3116763115e+05 1.5387592998e+03 -1.6882846050e+03 -1.0500093787e+00 6.9783150684e+00 -2.1459442799e-01 -1.5520510566e+05 1.5669231217e+03 1.3049807343e+03 -3.3315376277e+00 -1.7025083905e+00 -6.1822093071e-01
126791 2457532.73071 2367 0.0472 -3.3104620892e+05 1.5377708375e+03 -1.6890051603e+03 -1.0480574518e+00 6.9801401327e+00 -2.1863944316e-01 -1.5541597372e+05 1.5683772057e+03 1.3039041557e+03 -3.3340352359e+00 -1.6986267210e+00 -6.1881527191e-01
