# cadence BJD stars_used sigma X_0 X_x X_y X_xx X_xy X_yy Y_0 Y_x Y_y Y_xx Y_xy Y_yy
132916 2457657.88873 92 0.1685 2.6928232992e+05 -1.0769059882e+03 1.9301192955e+03 1.2557196932e-01 -8.0195528862e+00 -1.0685912841e-01 1.2606335323e+05 -1.3365487590e+03 -1.2300690485e+03 2.8922088999e+00 1.1978727761e+00 -4.5093533988e-01
132917 2457657.90916 88 0.1616 2.6893576434e+05 -1.0747845668e+03 1.9253974686e+03 1.2251289729e-01 -8.0016636036e+00 -1.0709199479e-01 1.2931756647e+05 -1.3602302110e+03 -1.2193950471e+03 2.9360753259e+00 1.1731399557e+00 -3.7867757175e-01
132918 2457657.92959 90 0.1608 2.6930116395e+05 -1.0786472891e+03 1.9156126771e+03 1.3189755835e-01 -7.9649474340e+00 -1.0981563403e-01 1.3017497247e+05 -1.3669211004e+03 -1.2206212562e+03 2.9494468990e+00 1.1837222286e+00 -3.5184010429e-01
132919 2457657.95002 95 0.2112 2.6806400279e+05 -1.0698771439e+03 1.9095204813e+03 1.1618677216e-01 -7.9463288906e+00 -1.3038671745e-01 1.3100058161e+05 -1.3734135609e+03 -1.2222774331e+03 2.9622684164e+00 1.1912920563e+00 -3.4615208330e-01
132921 2457657.99089 92 0.1816 2.7697140176e+05 -1.1351991056e+03 1.9336534086e+03 2.3584046912e-01 -8.0369836627e+00 -1.2572164155e-01 1.3984046398e+05 -1.4428739282e+03 -1.2415336808e+03 3.0986550585e+00 1.2657918350e+00 -3.4116399184e-01
132922 2457658.01132 92 0.1812 2.7564732198e+05 -1.1246682043e+03 1.9375111247e+03 2.1499476742e-01 -8.0506311557e+00 -1.2075330087e-01 1.3931188277e+05 -1.4386340185e+03 -1.2395683488e+03 3.0900490205e+00 1.2560185631e+00 -3.5160600748e-01
132923 2457658.03175 90 0.1679 2.7362953459e+05 -1.1105385626e+03 1.9259427947e+03 1.9062536422e-01 -8.0035073041e+00 -1.0734197995e-01 1.3506274606e+05 -1.4000416139e+03 -1.1832609877e+03 3.0056845049e+00 1.0598473196e+00 -2.6663608274e-01
132924 2457658.05218 86 0.1250 2.7214160441e+05 -1.0993459833e+03 1.9244725454e+03 1.6945556890e-01 -8.0001459933e+00 -1.1729055331e-01 1.3276919901e+05 -1.3823617731e+03 -1.1814419348e+03 2.9722388363e+00 1.0642075636e+00 -2.1532163428e-01
132925 2457658.07262 91 0.1637 2.6834824133e+05 -1.0692975941e+03 1.9344810476e+03 1.1004838599e-01 -8.0378637248e+00 -1.1444940516e-01 1.2967089071e+05 -1.3581988383e+03 -1.1765630835e+03 2.9248551946e+00 1.0402614716e+00 -2.3936316209e-01
132926 2457658.09305 90 0.1823 2.6888084870e+05 -1.0734882621e+03 1.9333401083e+03 1.1857104820e-01 -8.0282728824e+00 -9.0464430397e-02 1.2847536413e+05 -1.3487543825e+03 -1.1734889592e+03 2.9062990332e+00 1.0298924569e+00 -2.3315836460e-01
132927 2457658.11348 86 0.1243 2.6931974800e+05 -1.0776241581e+03 1.9262178050e+03 1.2807072126e-01 -7.9991066304e+00 -8.1261122840e-02 1.2842654513e+05 -1.3487282319e+03 -1.1764852848e+03 2.9070066594e+00 1.0430708823e+00 -2.2527193498e-01
132928 2457658.13391 87 0.1285 2.6854269594e+05 -1.0725708838e+03 1.9182391560e+03 1.1984942454e-01 -7.9731991848e+00 -1.0149855604e-01 1.2481104268e+05 -1.3220000439e+03 -1.1842687032e+03 2.8568085710e+00 1.0573780057e+00 -2.9480405562e-01
132929 2457658.15434 87 0.1265 2.7282673296e+05 -1.1104175965e+03 1.8719582871e+03 2.0095861973e-01 -7.8134704116e+00 -1.7795784388e-01 1.2036384448e+05 -1.2880313421e+03 -1.1840532152e+03 2.7921410723e+00 1.0600210661e+00 -2.7960072404e-01
132930 2457658.17478 86 0.1219 2.7377404681e+05 -1.1187199034e+03 1.8623113397e+03 2.1873681673e-01 -7.7786092977e+00 -1.8662155434e-01 1.1992941239e+05 -1.2842295264e+03 -1.1795454301e+03 2.7840346070e+00 1.0443395317e+00 -2.7197978329e-01
132931 2457658.19521 80 0.1181 2.8442783600e+05 -1.1981041808e+03 1.8802096197e+03 3.6655238454e-01 -7.8463717899e+00 -1.8365559772e-01 1.2794932329e+05 -1.3495209820e+03 -1.2168360689e+03 2.9166994813e+00 1.1921577768e+00 -2.4641854853e-01
132933 2457658.23607 86 0.1249 2.7978955600e+05 -1.1614938725e+03 1.8905839971e+03 2.9400100601e-01 -7.8934554053e+00 -2.2049002614e-01 1.2527764246e+05 -1.3262641159e+03 -1.1916352853e+03 2.8665754552e+00 1.0906663463e+00 -2.7169743909e-01
132934 2457658.25651 87 0.1250 2.7396068901e+05 -1.1130522809e+03 1.9260714436e+03 1.9502618132e-01 -8.0106694547e+00 -1.3750657321e-01 1.3220038326e+05 -1.3800469951e+03 -1.2001939236e+03 2.9704475998e+00 1.1133639794e+00 -3.1638617853e-01
132935 2457658.27694 86 0.1257 2.7265725222e+05 -1.1032473657e+03 1.9247714993e+03 1.7679199915e-01 -8.0020749460e+00 -1.2100621049e-01 1.3000951602e+05 -1.3629488995e+03 -1.1966091466e+03 2.9371683034e+00 1.1008079309e+00 -3.1144960513e-01
132936 2457658.29737 87 0.1225 2.7140222360e+05 -1.0938301740e+03 1.9233181827e+03 1.5908200884e-01 -7.9973979972e+00 -1.2474417594e-01 1.2759139103e+05 -1.3437078240e+03 -1.1892728716e+03 2.8990087843e+00 1.0737496109e+00 -3.0722508405e-01
132937 2457658.31780 87 0.1194 2.7420826971e+05 -1.1174876150e+03 1.9034494030e+03 2.0838806283e-01 -7.9235445273e+00 -1.3348837858e-01 1.2008719543e+05 -1.2852739286e+03 -1.1786519866e+03 2.7852619771e+00 1.0323882088e+00 -3.1160268574e-01
132938 2457658.33823 86 0.1205 2.7392539676e+05 -1.1154684041e+03 1.9021811274e+03 2.0493190098e-01 -7.9163093788e+00 -1.2238360212e-01 1.1852428135e+05 -1.2728017883e+03 -1.1735501668e+03 2.7605611756e+00 1.0153347077e+00 -3.0071203562e-01
132939 2457658.35867 81 0.0932 2.7491615449e+05 -1.1238129852e+03 1.8950990001e+03 2.2238748202e-01 -7.8885402320e+00 -1.1885569080e-01 1.1366673395e+05 -1.2350925451e+03 -1.1680328853e+03 2.6860779659e+00 9.7030622423e-01 -4.0956132868e-01
132940 2457658.37910 86 0.1137 2.7445717060e+05 -1.1206505220e+03 1.8919937260e+03 2.1708585982e-01 -7.8751608411e+00 -1.1172420523e-01 1.1882242977e+05 -1.2756942199e+03 -1.1789734590e+03 2.7673080687e+00 1.0369687941e+00 -2.9638658740e-01
132941 2457658.39953 84 0.1158 2.7457321496e+05 -1.1218659956e+03 1.8889768992e+03 2.2010189474e-01 -7.8624020441e+00 -1.0592341863e-01 1.1920448734e+05 -1.2785917856e+03 -1.1787344596e+03 2.7727774780e+00 1.0356190375e+00 -2.9836111923e-01
132942 2457658.41996 87 0.1549 2.6987124726e+05 -1.0826288747e+03 1.9190287287e+03 1.3903793396e-01 -7.9733797455e+00 -8.8388163026e-02 1.2179502890e+05 -1.2986008751e+03 -1.1807282277e+03 2.8116366433e+00 1.0475664268e+00 -2.7774414886e-01
132943 2457658.44039 89 0.1580 2.6901499384e+05 -1.0774487993e+03 1.9067234413e+03 1.3145157492e-01 -7.9316361441e+00 -1.1194068199e-01 1.2635286191e+05 -1.3344267909e+03 -1.1901908616e+03 2.8819580050e+00 1.0832749071e+00 -2.7975543242e-01
132945 2457658.48126 87 0.1197 2.7492769487e+05 -1.1246660732e+03 1.8880732295e+03 2.2473538974e-01 -7.8752866894e+00 -1.8119442581e-01 1.2215499631e+05 -1.3017380721e+03 -1.1850054048e+03 2.8180175549e+00 1.0573410452e+00 -3.0843495823e-01
